commits,commits_per_month,changes,changes_per_commit,changes_per_month,grade
21,4,543,25,108,5.75
10,2,304,30,60,5.58
34,6,2846,83,569,8.46
25,5,1674,66,334,7.65
38,7,649,17,129,6.03
32,6,1242,38,248,6.69
17,3,1584,93,316,8.16
37,7,1993,53,398,7.51
31,6,1234,39,246,6.75
11,2,1078,98,215,8.17
10,2,450,45,90,6.2
37,7,759,20,151,6.17
40,8,108,2,21,5.64
36,7,3574,99,714,9.35
13,2,268,20,53,4.85
40,8,2235,55,447,7.82
34,6,1399,41,279,6.76
18,3,1135,63,227,6.91
19,3,1326,69,265,7.11
17,3,1350,79,270,7.61
29,5,2170,74,434,7.86
28,5,2061,73,412,7.84
36,7,1399,38,279,6.92
16,3,327,20,65,5.31
36,7,2087,57,417,7.68
45,9,2599,57,519,8.09
28,5,1605,57,321,7.19
24,4,1363,56,272,6.88
50,10,2929,58,585,8.33
41,8,3052,74,610,8.56
18,3,228,12,45,4.85
11,2,471,42,94,5.95
47,9,493,10,98,6.19
46,9,4113,89,822,9.36
34,6,2861,84,572,8.49
46,9,4306,93,861,9.53
27,5,814,30,162,6.12
19,3,1656,87,331,7.82
40,8,1367,34,273,6.96
40,8,1950,48,390,7.53
14,2,349,24,69,4.94
22,4,389,17,77,5.37
22,4,1067,48,213,6.62
48,9,2886,60,577,8.2
39,7,464,11,92,5.8
35,7,1285,36,257,6.85
22,4,813,36,162,6.15
40,8,1670,41,334,7.25
11,2,109,9,21,4.56
33,6,1521,46,304,6.98
14,2,526,37,105,5.48
43,8,2533,58,506,7.92
13,2,434,33,86,5.37
14,2,802,57,160,6.27
18,3,550,30,110,5.6
49,9,4441,90,888,9.41
21,4,650,30,130,5.96
40,8,1071,26,214,6.65
23,4,1549,67,309,7.34
42,8,1014,24,202,6.54
37,7,1060,28,212,6.5
34,6,1884,55,376,7.33
31,6,2271,73,454,8.1
38,7,2658,69,531,8.14
38,7,2203,57,440,7.66
47,9,2678,56,535,8.05
36,7,2667,74,533,8.34
36,7,2171,60,434,7.79
20,4,1608,80,321,8.0
41,8,3300,80,660,8.8
30,6,382,12,76,5.68
40,8,1447,36,289,7.04
37,7,3568,96,713,9.22
32,6,1849,57,369,7.45
12,2,129,10,25,4.5
45,9,2234,49,446,7.77
38,7,2718,71,543,8.21
20,4,548,27,109,5.88
10,2,408,40,81,6.0
21,4,1809,86,361,8.18
48,9,3323,69,664,8.56
20,4,1816,90,363,8.41
23,4,1900,82,380,7.95
24,4,1938,80,387,7.84
35,7,550,15,110,6.01
25,5,1134,45,226,6.8
37,7,312,8,62,5.69
46,9,4431,96,886,9.64
21,4,1841,87,368,8.24
44,8,1507,34,301,6.94
32,6,1430,44,286,6.93
16,3,1497,93,299,8.24
42,8,929,22,185,6.46
20,4,1020,51,204,6.84
23,4,1007,43,201,6.39
19,3,792,41,158,5.99
15,3,1203,80,240,7.8
49,9,3850,78,770,8.93
18,3,1137,63,227,6.91
48,9,2974,61,594,8.25
14,2,1054,75,210,6.99
15,3,795,53,159,6.72
17,3,183,10,36,4.83
45,9,2798,62,559,8.28
18,3,1320,73,264,7.31
11,2,426,38,85,5.79
24,4,2152,89,430,8.2
19,3,1481,77,296,7.44
21,4,1003,47,200,6.63
35,7,401,11,80,5.84
38,7,1721,45,344,7.17
31,6,2390,77,478,8.26
32,6,2061,64,412,7.72
35,7,3206,91,641,9.05
35,7,1998,57,399,7.68
46,9,2353,51,470,7.84
25,5,569,22,113,5.88
37,7,1958,52,391,7.47
43,8,655,15,131,6.19
23,4,1491,64,298,7.23
46,9,701,15,140,6.4
10,2,946,94,189,8.17
31,6,931,30,186,6.37
23,4,2155,93,431,8.39
45,9,3078,68,615,8.53
26,5,1362,52,272,7.05
24,4,987,41,197,6.27
42,8,1571,37,314,7.07
31,6,2550,82,510,8.46
27,5,1224,45,244,6.73
26,5,2289,88,457,8.48
14,2,681,48,136,5.92
27,5,2255,83,451,8.26
10,2,828,82,165,7.69
22,4,796,36,159,6.14
48,9,1052,21,210,6.65
39,7,2709,69,541,8.12
45,9,2117,47,423,7.68
39,7,1667,42,333,7.05
17,3,979,57,195,6.73
40,8,3602,90,720,9.2
35,7,3499,99,699,9.38
49,9,4338,88,867,9.33
21,4,776,36,155,6.2
42,8,528,12,105,6.06
47,9,1975,42,395,7.48
46,9,365,7,73,6.1
45,9,4032,89,806,9.37
36,7,1439,39,287,6.96
42,8,4070,96,814,9.44
37,7,892,24,178,6.33
26,5,500,19,100,5.73
31,6,1932,62,386,7.66
16,3,1446,90,289,8.12
26,5,1148,44,229,6.72
31,6,2660,85,532,8.59
32,6,2521,78,504,8.29
38,7,713,18,142,6.09
49,9,2236,45,447,7.61
18,3,863,47,172,6.28
40,8,118,2,23,5.65
14,2,632,45,126,5.79
43,8,1981,46,396,7.42
38,7,1315,34,263,6.73
47,9,2763,58,552,8.13
19,3,1553,81,310,7.59
21,4,1707,81,341,7.99
41,8,381,9,76,5.95
37,7,3272,88,654,8.9
50,10,624,12,124,6.48
38,7,3649,96,729,9.2
45,9,3352,74,670,8.77
44,8,1033,23,206,6.5
47,9,4691,99,938,9.77
27,5,1354,50,270,6.93
34,6,2207,64,441,7.7
25,5,1227,49,245,6.96
28,5,1220,43,244,6.64
28,5,2348,83,469,8.24
31,6,1133,36,226,6.62
20,4,1970,98,394,8.73
41,8,2925,71,585,8.44
32,6,523,16,104,5.79
34,6,2948,86,589,8.58
34,6,2880,84,576,8.5
33,6,2102,63,420,7.67
13,2,502,38,100,5.58
32,6,2478,77,495,8.24
15,3,1144,76,228,7.64
45,9,1944,43,388,7.52
46,9,2984,64,596,8.37
44,8,935,21,187,6.42
42,8,172,4,34,5.72
12,2,1200,100,240,8.15
10,2,926,92,185,8.09
43,8,2644,61,528,8.03
31,6,570,18,114,5.9
26,5,628,24,125,5.92
14,2,725,51,145,6.04
42,8,1674,39,334,7.16
29,5,1812,62,362,7.37
19,3,1113,58,222,6.67
32,6,2328,72,465,8.05
31,6,902,29,180,6.33
34,6,2750,80,550,8.34
40,8,2307,57,461,7.89
33,6,1506,45,301,6.95
37,7,2332,63,466,7.89
19,3,697,36,139,5.79
10,2,612,61,122,6.84
10,2,595,59,119,6.77
19,3,1457,76,291,7.39
37,7,362,9,72,5.74
37,7,603,16,120,6.01
49,9,3720,75,744,8.82
13,2,643,49,128,6.02
36,7,3179,88,635,8.91
11,2,369,33,73,5.57
41,8,871,21,174,6.43
50,10,1525,30,305,7.21
10,2,963,96,192,8.24
11,2,776,70,155,7.07
45,9,1733,38,346,7.33
41,8,1874,45,374,7.4
46,9,1094,23,218,6.72
10,2,692,69,138,7.16
18,3,1776,98,355,8.32
49,9,4402,89,880,9.37
43,8,3887,90,777,9.19
20,4,1392,69,278,7.57
29,5,317,10,63,5.29
19,3,1043,54,208,6.51
17,3,955,56,191,6.69
23,4,999,43,199,6.38
11,2,538,48,107,6.19
13,2,1173,90,234,7.66
49,9,2747,56,549,8.04
10,2,364,36,72,5.83
27,5,1674,62,334,7.41
32,6,2607,81,521,8.4
44,8,2235,50,447,7.59
35,7,271,7,54,5.69
37,7,1242,33,248,6.7
31,6,2439,78,487,8.31
11,2,251,22,50,5.15
45,9,3879,86,775,9.24
32,6,1019,31,203,6.4
30,6,1905,63,381,7.73
37,7,1235,33,247,6.7
18,3,116,6,23,4.62
23,4,2112,91,422,8.31
43,8,3078,71,615,8.43
30,6,1785,59,357,7.57
49,9,3843,78,768,8.92
27,5,1953,72,390,7.82
49,9,2797,57,559,8.08
25,5,831,33,166,6.32
30,6,1695,56,339,7.45
33,6,334,10,66,5.52
33,6,3025,91,605,8.79
41,8,1339,32,267,6.88
39,7,2094,53,418,7.48
24,4,745,31,149,5.87
25,5,2169,86,433,8.45
10,2,108,10,21,4.76
23,4,777,33,155,5.99
18,3,802,44,160,6.15
43,8,4188,97,837,9.47
11,2,549,49,109,6.22
24,4,1574,65,314,7.23
34,6,1835,53,367,7.26
43,8,3560,82,712,8.88
25,5,1713,68,342,7.73
24,4,886,36,177,6.08
44,8,1193,27,238,6.66
35,7,589,16,117,6.04
16,3,315,19,63,5.29
47,9,3820,81,764,9.04
49,9,2607,53,521,7.92
40,8,1043,26,208,6.64
30,6,1276,42,255,6.89
40,8,1060,26,212,6.65
41,8,282,6,56,5.83
47,9,1322,28,264,6.91
37,7,2289,61,457,7.83
43,8,434,10,86,5.96
32,6,1400,43,280,6.89
37,7,1875,50,375,7.39
30,6,317,10,63,5.6
41,8,3369,82,673,8.87
10,2,726,72,145,7.29
29,5,2080,71,416,7.74
27,5,2129,78,425,8.07
10,2,364,36,72,5.83
33,6,1430,43,286,6.86
22,4,1513,68,302,7.43
49,9,705,14,141,6.36
10,2,908,90,181,8.01
12,2,1010,84,202,7.51
35,7,202,5,40,5.6
13,2,348,26,69,5.1
34,6,985,28,197,6.26
34,6,3238,95,647,8.93
13,2,709,54,141,6.22
19,3,1177,61,235,6.79
16,3,1066,66,213,7.17
32,6,3145,98,629,9.08
16,3,1217,76,243,7.55
25,5,2160,86,432,8.45
45,9,1011,22,202,6.69
20,4,1404,70,280,7.6
36,7,2803,77,560,8.48
12,2,580,48,116,6.07
35,7,862,24,172,6.37
30,6,359,11,71,5.64
17,3,1496,88,299,7.96
43,8,187,4,37,5.73
10,2,874,87,174,7.88
37,7,1772,47,354,7.27
25,5,1591,63,318,7.53
22,4,2096,95,419,8.5
44,8,2420,55,484,7.78
25,5,1345,53,269,7.14
38,7,676,17,135,6.05
21,4,911,43,182,6.47
41,8,828,20,165,6.39
43,8,2964,68,592,8.32
22,4,542,24,108,5.66
23,4,1566,68,313,7.38
13,2,786,60,157,6.47
10,2,350,35,70,5.8
25,5,1040,41,208,6.65
33,6,246,7,49,5.42
45,9,2860,63,572,8.33
21,4,630,30,126,5.94
30,6,2697,89,539,8.78
40,8,3191,79,638,8.77
13,2,849,65,169,6.66
31,6,1083,34,216,6.55
17,3,1029,60,205,6.85
27,5,785,29,157,6.09
43,8,738,17,147,6.26
37,7,2885,77,577,8.47
49,9,3814,77,762,8.89
10,2,489,48,97,6.32
43,8,1579,36,315,7.03
49,9,1770,36,354,7.24
46,9,326,7,65,6.07
28,5,119,4,23,5.0
24,4,582,24,116,5.58
48,9,2259,47,451,7.67
21,4,1051,50,210,6.74
48,9,243,5,48,5.97
10,2,428,42,85,6.08
14,2,1380,98,276,7.92
29,5,2775,95,555,8.7
21,4,243,11,48,5.17
28,5,318,11,63,5.33
39,7,3547,90,709,8.97
37,7,2677,72,535,8.26
26,5,698,26,139,6.01
46,9,3628,78,725,8.93
25,5,1554,62,310,7.48
40,8,3062,76,612,8.65
39,7,367,9,73,5.71
11,2,383,34,76,5.62
27,5,865,32,173,6.21
22,4,1575,71,315,7.55
28,5,1337,47,267,6.8
13,2,1107,85,221,7.46
24,4,299,12,59,5.09
16,3,991,61,198,6.97
31,6,243,7,48,5.45
21,4,434,20,86,5.54
30,6,206,6,41,5.45
24,4,135,5,27,4.84
36,7,3384,94,676,9.14
33,6,362,10,72,5.55
27,5,1682,62,336,7.42
43,8,3349,77,669,8.68
21,4,851,40,170,6.35
20,4,257,12,51,5.28
12,2,700,58,140,6.47
50,10,4604,92,920,9.68
42,8,412,9,82,5.95
40,8,602,15,120,6.19
17,3,1022,60,204,6.84
40,8,3322,83,664,8.92
18,3,264,14,52,4.93
17,3,538,31,107,5.69
38,7,619,16,123,5.99
45,9,3244,72,648,8.68
35,7,2940,84,588,8.76
29,5,2628,90,525,8.49
30,6,1667,55,333,7.41
34,6,435,12,87,5.62
32,6,577,18,115,5.87
43,8,2002,46,400,7.43
31,6,2176,70,435,7.98
47,9,601,12,120,6.29
30,6,1091,36,218,6.65
39,7,1397,35,279,6.77
45,9,2870,63,574,8.34
34,6,2738,80,547,8.33
19,3,567,29,113,5.51
31,6,1657,53,331,7.3
10,2,453,45,90,6.19
42,8,1920,45,384,7.4
40,8,2033,50,406,7.61
15,3,1265,84,253,7.97
12,2,581,48,116,6.07
31,6,1974,63,394,7.7
40,8,960,24,192,6.56
40,8,928,23,185,6.52
16,3,603,37,120,6.0
46,9,3537,76,707,8.85
15,3,1117,74,223,7.57
38,7,758,19,151,6.13
13,2,292,22,58,4.93
16,3,1047,65,209,7.12
42,8,2536,60,507,7.99
33,6,1642,49,328,7.11
38,7,3746,98,749,9.29
27,5,1886,69,377,7.71
46,9,2764,60,552,8.2
31,6,2610,84,522,8.54
36,7,1048,29,209,6.54
42,8,3799,90,759,9.19
13,2,1157,89,231,7.62
22,4,440,20,88,5.5
32,6,1175,36,235,6.61
16,3,871,54,174,6.68
36,7,303,8,60,5.69
41,8,3821,93,764,9.31
11,2,173,15,34,4.84
36,7,3012,83,602,8.72
50,10,1388,27,277,7.09
23,4,1429,62,285,7.14
39,7,3121,80,624,8.55
27,5,2044,75,408,7.94
26,5,2274,87,454,8.45
45,9,1549,34,309,7.16
35,7,1510,43,302,7.12
44,8,2532,57,506,7.87
46,9,3017,65,603,8.41
40,8,2585,64,517,8.17
40,8,858,21,171,6.44
31,6,2510,80,502,8.39
18,3,426,23,85,5.32
17,3,1665,97,333,8.34
48,9,4543,94,908,9.57
19,3,1052,55,210,6.54
38,7,2060,54,412,7.53
37,7,3359,90,671,8.99
34,6,1947,57,389,7.41
32,6,1728,54,345,7.31
28,5,1578,56,315,7.15
20,4,814,40,162,6.4
28,5,2695,96,539,8.75
31,6,2966,95,593,8.99
48,9,4590,95,918,9.61
34,6,981,28,196,6.26
17,3,1461,85,292,7.86
10,2,269,26,53,5.43
47,9,4110,87,822,9.28
38,7,912,24,182,6.32
21,4,1564,74,312,7.71
11,2,986,89,197,7.83
30,6,1005,33,201,6.53
33,6,1917,58,383,7.46
35,7,527,15,105,5.99
26,5,290,11,58,5.41
46,9,1697,36,339,7.25
33,6,1589,48,317,7.06
23,4,1388,60,277,7.06
49,9,1127,23,225,6.71
46,9,1330,28,266,6.93
32,6,373,11,74,5.59
37,7,285,7,57,5.67
40,8,1053,26,210,6.64
35,7,1848,52,369,7.49
34,6,3208,94,641,8.89
37,7,454,12,90,5.84
38,7,2915,76,583,8.42
41,8,1284,31,256,6.83
46,9,913,19,182,6.57
13,2,690,53,138,6.18
18,3,1416,78,283,7.52
41,8,2632,64,526,8.15
11,2,911,82,182,7.55
42,8,2921,69,584,8.36
40,8,1264,31,252,6.85
22,4,1486,67,297,7.39
30,6,445,14,89,5.78
10,2,623,62,124,6.88
26,5,2468,94,493,8.74
41,8,102,2,20,5.64
36,7,2145,59,429,7.76
43,8,728,16,145,6.23
50,10,1586,31,317,7.25
35,7,2409,68,481,8.13
14,2,147,10,29,4.37
10,2,503,50,100,6.39
47,9,2262,48,452,7.72
31,6,2531,81,506,8.43
44,8,3884,88,776,9.1
36,7,3279,91,655,9.02
30,6,2625,87,525,8.69
50,10,185,3,37,6.13
14,2,1227,87,245,7.48
28,5,825,29,165,6.08
26,5,1922,73,384,7.9
26,5,307,11,61,5.41
31,6,2877,92,575,8.87
21,4,543,25,108,5.75
29,5,1065,36,213,6.34
41,8,1963,47,392,7.49
22,4,1594,72,318,7.58
24,4,1528,63,305,7.16
17,3,1209,71,241,7.28
12,2,951,79,190,7.31
44,8,4099,93,819,9.3
20,4,1044,52,208,6.88
44,8,3062,69,612,8.35
33,6,3161,95,632,8.95
50,10,2427,48,485,7.93
23,4,711,30,142,5.87
45,9,3070,68,614,8.52
42,8,1722,41,344,7.22
22,4,1638,74,327,7.66
35,7,1105,31,221,6.65
15,3,843,56,168,6.84
43,8,1320,30,264,6.79
10,2,591,59,118,6.76
36,7,484,13,96,5.9
13,2,530,40,106,5.67
24,4,628,26,125,5.66
29,5,697,24,139,5.84
38,7,1711,45,342,7.16
11,2,815,74,163,7.22
31,6,1573,50,314,7.19
49,9,2447,49,489,7.77
20,4,1713,85,342,8.21
45,9,794,17,158,6.48
10,2,769,76,153,7.45
10,2,492,49,98,6.36
11,2,806,73,161,7.18
48,9,2620,54,524,7.97
37,7,560,15,112,5.97
26,5,780,30,156,6.16
46,9,3447,74,689,8.77
26,5,1634,62,326,7.46
35,7,1969,56,393,7.64
41,8,3109,75,621,8.61
43,8,3507,81,701,8.83
21,4,671,31,134,6.0
31,6,548,17,109,5.86
16,3,475,29,95,5.69
33,6,1429,43,285,6.86
43,8,1437,33,287,6.91
14,2,945,67,189,6.68
49,9,2249,45,449,7.61
17,3,1638,96,327,8.29
26,5,611,23,122,5.89
17,3,674,39,134,6.01
41,8,862,21,172,6.43
36,7,3336,92,667,9.08
16,3,293,18,58,5.22
45,9,3966,88,793,9.32
39,7,2067,53,413,7.47
12,2,445,37,89,5.63
35,7,2918,83,583,8.73
35,7,742,21,148,6.24
40,8,1956,48,391,7.54
24,4,1735,72,347,7.51
42,8,822,19,164,6.35
29,5,864,29,172,6.05
20,4,1785,89,357,8.37
48,9,124,2,24,5.82
33,6,3115,94,623,8.91
12,2,393,32,78,5.43
47,9,363,7,72,6.07
49,9,3737,76,747,8.84
12,2,250,20,50,4.96
21,4,322,15,64,5.34
10,2,273,27,54,5.46
22,4,947,43,189,6.41
39,7,131,3,26,5.47
41,8,1456,35,291,7.0
18,3,1696,94,339,8.15
38,7,1677,44,335,7.12
12,2,769,64,153,6.7
35,7,2522,72,504,8.28
34,6,2003,58,400,7.46
15,3,1038,69,207,7.36
31,6,506,16,101,5.82
10,2,897,89,179,7.97
44,8,2123,48,424,7.5
12,2,1167,97,233,8.03
42,8,2621,62,524,8.07
24,4,1601,66,320,7.28
40,8,450,11,90,6.04
48,9,1875,39,375,7.36
32,6,258,8,51,5.45
48,9,3115,64,623,8.37
31,6,2644,85,528,8.58
16,3,876,54,175,6.69
25,5,1433,57,286,7.28
17,3,418,24,83,5.4
28,5,1956,69,391,7.68
16,3,1565,97,313,8.41
10,2,940,94,188,8.16
21,4,419,19,83,5.5
21,4,621,29,124,5.91
34,6,712,20,142,5.94
49,9,349,7,69,6.06
21,4,327,15,65,5.34
20,4,720,36,144,6.24
32,6,2771,86,554,8.61
30,6,1029,34,205,6.56
38,7,1223,32,244,6.64
24,4,1881,78,376,7.75
24,4,1811,75,362,7.63
32,6,776,24,155,6.12
50,10,2346,46,469,7.86
46,9,3625,78,725,8.93
40,8,167,4,33,5.74
48,9,1747,36,349,7.24
18,3,597,33,119,5.7
43,8,4084,94,816,9.36
27,5,1906,70,381,7.74
17,3,466,27,93,5.53
34,6,660,19,132,5.89
45,9,1550,34,310,7.17
25,5,2287,91,457,8.65
46,9,2567,55,513,8.01
26,5,1946,74,389,7.94
15,3,1489,99,297,8.56
31,6,1841,59,368,7.54
37,7,1224,33,244,6.69
34,6,2493,73,498,8.05
27,5,231,8,46,5.25
38,7,585,15,117,5.97
13,2,479,36,95,5.5
36,7,1715,47,343,7.28
42,8,2471,58,494,7.92
38,7,3782,99,756,9.33
26,5,1646,63,329,7.49
24,4,1634,68,326,7.34
37,7,1178,31,235,6.62
33,6,1058,32,211,6.41
34,6,2733,80,546,8.33
17,3,986,58,197,6.76
44,8,2788,63,557,8.1
19,3,1578,83,315,7.66
16,3,750,46,150,6.37
36,7,1622,45,324,7.18
46,9,1681,36,336,7.25
46,9,3133,68,626,8.52
12,2,123,10,24,4.5
14,2,691,49,138,5.95
10,2,827,82,165,7.69
46,9,1520,33,304,7.12
27,5,1715,63,343,7.46
37,7,3677,99,735,9.34
19,3,883,46,176,6.18
37,7,3443,93,688,9.09
47,9,669,14,133,6.35
10,2,502,50,100,6.4
38,7,1947,51,389,7.4
28,5,1205,43,241,6.63
40,8,1503,37,300,7.09
20,4,572,28,114,5.93
21,4,252,12,50,5.21
28,5,386,13,77,5.44
42,8,3364,80,672,8.78
48,9,2387,49,477,7.77
31,6,1135,36,227,6.63
38,7,539,14,107,5.91
10,2,892,89,178,7.96
44,8,1365,31,273,6.82
14,2,793,56,158,6.23
47,9,312,6,62,6.03
10,2,563,56,112,6.64
25,5,910,36,182,6.45
47,9,4566,97,913,9.68
46,9,161,3,32,5.91
33,6,828,25,165,6.13
22,4,181,8,36,5.01
39,7,659,16,131,6.0
21,4,1422,67,284,7.44
10,2,826,82,165,7.69
49,9,4756,97,951,9.68
48,9,4654,96,930,9.65
43,8,1748,40,349,7.19
31,6,450,14,90,5.75
16,3,336,21,67,5.35
12,2,606,50,121,6.15
21,4,1281,61,256,7.18
30,6,1871,62,374,7.69
23,4,2094,91,418,8.3
43,8,1265,29,253,6.75
38,7,962,25,192,6.36
14,2,1286,91,257,7.64
30,6,2299,76,459,8.25
29,5,2649,91,529,8.53
40,8,233,5,46,5.79
48,9,325,6,65,6.05
48,9,221,4,44,5.96
15,3,1274,84,254,7.97
34,6,634,18,126,5.85
27,5,995,36,199,6.39
29,5,2887,99,577,8.85
21,4,423,20,84,5.53
11,2,466,42,93,5.94
48,9,1864,38,372,7.33
20,4,919,45,183,6.61
33,6,2085,63,417,7.66
12,2,495,41,99,5.79
46,9,572,12,114,6.28
19,3,137,7,27,4.59
49,9,4334,88,866,9.32
40,8,3810,95,762,9.4
24,4,797,33,159,5.95
10,2,905,90,181,8.01
20,4,1975,98,395,8.73
17,3,681,40,136,6.04
49,9,3271,66,654,8.45
19,3,1028,54,205,6.5
23,4,434,18,86,5.38
15,3,1460,97,292,8.49
36,7,3385,94,677,9.14
18,3,1558,86,311,7.83
25,5,1457,58,291,7.32
21,4,665,31,133,6.0
50,10,676,13,135,6.53
24,4,2110,87,422,8.12
43,8,3115,72,623,8.47
25,5,155,6,31,5.24
39,7,834,21,166,6.19
44,8,1260,28,252,6.71
35,7,3061,87,612,8.89
11,2,160,14,32,4.83
12,2,168,14,33,4.67
36,7,1769,49,353,7.34
30,6,2925,97,585,9.09
47,9,449,9,89,6.15
40,8,2275,56,455,7.86
23,4,263,11,52,5.09
38,7,2029,53,405,7.49
22,4,1487,67,297,7.39
18,3,1382,76,276,7.44
17,3,756,44,151,6.21
49,9,2099,42,419,7.49
22,4,1114,50,222,6.7
15,3,699,46,139,6.44
26,5,2560,98,512,8.89
22,4,2084,94,416,8.47
11,2,641,58,128,6.58
14,2,1160,82,232,7.29
42,8,3880,92,776,9.27
31,6,1789,57,357,7.47
42,8,234,5,46,5.76
29,5,507,17,101,5.57
46,9,2005,43,401,7.53
45,9,3201,71,640,8.64
24,4,1844,76,368,7.68
34,6,1089,32,217,6.4
29,5,1097,37,219,6.38
13,2,690,53,138,6.18
28,5,626,22,125,5.79
50,10,1790,35,358,7.42
23,4,361,15,72,5.27
19,3,433,22,86,5.22
22,4,404,18,80,5.41
16,3,443,27,88,5.6
43,8,1027,23,205,6.51
22,4,1735,78,347,7.84
48,9,821,17,164,6.47
13,2,643,49,128,6.02
43,8,735,17,147,6.26
44,8,3892,88,778,9.11
10,2,256,25,51,5.4
20,4,1187,59,237,7.16
35,7,3444,98,688,9.33
32,6,1396,43,279,6.89
29,5,2155,74,431,7.85
39,7,3526,90,705,8.96
18,3,1656,92,331,8.07
28,5,343,12,68,5.37
44,8,3383,76,676,8.63
21,4,1167,55,233,6.95
37,7,2260,61,452,7.81
30,6,929,30,185,6.41
31,6,768,24,153,6.14
37,7,2172,58,434,7.7
26,5,2199,84,439,8.33
22,4,333,15,66,5.28
18,3,1390,77,278,7.47
47,9,1446,30,289,7.01
20,4,1459,72,291,7.69
18,3,304,16,60,5.02
