commits,commits_per_month,changes,changes_per_commit,changes_per_month,grade
56,9,2472,44,412,5.57
8,1,1561,195,260,2.5
74,12,424,5,70,3.55
39,6,2784,71,464,5.29
90,15,794,8,132,4.74
5,0,1830,366,305,2.79
21,3,367,17,61,1.3
25,4,2730,109,455,4.71
78,13,2432,31,405,6.45
86,14,1792,20,298,5.87
31,5,1652,53,275,3.48
41,6,1936,47,322,4.18
59,9,1451,24,241,4.25
47,7,2612,55,435,5.33
94,15,319,3,53,4.18
98,16,2980,30,496,7.95
89,14,1303,14,217,5.28
60,10,1652,27,275,4.67
51,8,1188,23,198,3.62
68,11,237,3,39,3.05
89,14,651,7,108,4.4
11,1,800,72,133,1.46
63,10,1142,18,190,4.04
44,7,533,12,88,2.47
65,10,1095,16,182,4.02
63,10,509,8,84,3.19
4,0,1517,379,252,2.35
54,9,944,17,157,3.47
16,2,2082,130,347,3.43
91,15,2416,26,402,6.93
18,3,2088,116,348,3.6
56,9,1553,27,258,4.33
61,10,1712,28,285,4.77
12,2,2526,210,421,4.0
96,16,2299,23,383,7.0
23,3,587,25,97,1.63
69,11,1383,20,230,4.61
89,14,1094,12,182,5.0
30,5,479,15,79,1.87
98,16,2036,20,339,6.69
44,7,2586,58,431,5.24
4,0,425,106,70,0.71
84,14,965,11,160,4.72
16,2,640,40,106,1.45
83,13,2232,26,372,6.28
24,4,2803,116,467,4.79
19,3,1883,99,313,3.33
70,11,1707,24,284,5.07
1,0,187,187,31,0.39
25,4,940,37,156,2.28
89,14,124,1,20,3.69
59,9,1627,27,271,4.49
53,8,2487,46,414,5.4
91,15,304,3,50,4.1
21,3,979,46,163,2.13
76,12,327,4,54,3.46
38,6,2958,77,493,5.51
24,4,2429,101,404,4.28
79,13,369,4,61,3.7
41,6,2794,68,465,5.34
79,13,1562,19,260,5.3
11,1,1961,178,326,3.08
53,8,1846,34,307,4.54
86,14,2416,28,402,6.71
45,7,1563,34,260,3.88
37,6,2712,73,452,5.16
5,0,1047,209,174,1.63
72,12,2513,34,418,6.31
65,10,198,3,33,2.82
61,10,1638,26,273,4.67
28,4,1418,50,236,2.98
56,9,1569,28,261,4.35
25,4,307,12,51,1.42
53,8,1826,34,304,4.52
95,15,1033,10,172,5.16
2,0,1948,974,324,3.29
17,2,2856,168,476,4.51
80,13,1342,16,223,5.02
11,1,2655,241,442,4.05
99,16,366,3,61,4.47
35,5,185,5,30,1.57
96,16,2801,29,466,7.67
14,2,289,20,48,0.93
92,15,1385,15,230,5.57
56,9,1430,25,238,4.17
6,1,2680,446,446,4.12
55,9,1843,33,307,4.7
70,11,585,8,97,3.56
31,5,2664,85,444,4.85
83,13,2580,31,430,6.75
87,14,1299,14,216,5.23
39,6,1388,35,231,3.4
4,0,875,218,145,1.39
96,16,2175,22,362,6.83
10,1,552,55,92,1.1
39,6,1206,30,201,3.16
52,8,1952,37,325,4.67
26,4,1717,66,286,3.35
84,14,1428,17,238,5.35
79,13,2362,29,393,6.37
44,7,1774,40,295,4.14
26,4,1649,63,274,3.26
87,14,2868,32,478,7.34
5,0,137,27,22,0.3
68,11,1956,28,326,5.36
86,14,231,2,38,3.78
52,8,250,4,41,2.37
29,4,1229,42,204,2.74
51,8,669,13,111,2.92
88,14,2528,28,421,6.9
25,4,1343,53,223,2.82
7,1,500,71,83,0.98
67,11,755,11,125,3.73
66,11,174,2,29,2.93
35,5,2926,83,487,5.28
62,10,889,14,148,3.68
27,4,440,16,73,1.64
28,4,292,10,48,1.45
20,3,596,29,99,1.59
70,11,517,7,86,3.47
9,1,176,19,29,0.55
48,8,2790,58,465,5.72
52,8,1276,24,212,3.75
62,10,718,11,119,3.45
79,13,332,4,55,3.65
26,4,936,36,156,2.29
14,2,1696,121,282,2.87
37,6,1007,27,167,2.85
97,16,1100,11,183,5.41
12,2,2338,194,389,3.74
56,9,1778,31,296,4.64
54,9,1296,24,216,3.95
54,9,149,2,24,2.4
27,4,672,24,112,1.95
90,15,1484,16,247,5.66
8,1,783,97,130,1.39
73,12,1240,16,206,4.62
3,0,515,171,85,0.86
72,12,461,6,76,3.56
54,9,2192,40,365,5.15
16,2,591,36,98,1.38
5,0,2400,480,400,3.62
92,15,2301,25,383,6.8
79,13,853,10,142,4.35
35,5,881,25,146,2.51
17,2,1665,97,277,2.87
88,14,455,5,75,4.12
89,14,994,11,165,4.86
38,6,1908,50,318,4.09
61,10,2426,39,404,5.73
72,12,1408,19,234,4.83
29,4,955,32,159,2.37
92,15,2577,28,429,7.17
1,0,1993,1993,332,4.02
26,4,2692,103,448,4.68
56,9,1904,34,317,4.81
21,3,1746,83,291,3.18
99,16,1444,14,240,5.91
17,2,2209,129,368,3.62
55,9,1294,23,215,3.96
34,5,1345,39,224,3.12
80,13,2631,32,438,6.75
75,12,949,12,158,4.27
71,11,1353,19,225,4.61
13,2,771,59,128,1.58
79,13,545,6,90,3.93
29,4,1244,42,207,2.77
76,12,1908,25,318,5.58
38,6,439,11,73,2.1
70,11,2695,38,449,6.39
24,4,206,8,34,1.26
3,0,2319,773,386,3.67
10,1,803,80,133,1.45
42,7,1913,45,318,4.29
39,6,2342,60,390,4.69
71,11,1900,26,316,5.34
34,5,476,14,79,1.95
15,2,1021,68,170,1.96
66,11,1174,17,195,4.27
81,13,2096,25,349,6.06
75,12,2220,29,370,5.98
18,3,2841,157,473,4.63
33,5,1550,46,258,3.38
39,6,1640,42,273,3.74
27,4,1483,54,247,3.05
61,10,707,11,117,3.42
95,15,2385,25,397,6.97
54,9,370,6,61,2.7
3,0,1637,545,272,2.61
37,6,2952,79,492,5.48
90,15,168,1,28,3.9
38,6,974,25,162,2.82
14,2,373,26,62,1.04
95,15,2986,31,497,7.77
60,10,2520,42,420,5.84
19,3,2913,153,485,4.74
25,4,1287,51,214,2.75
73,12,1447,19,241,4.9
10,1,1909,190,318,3.0
64,10,1127,17,187,4.04
97,16,495,5,82,4.6
16,2,2264,141,377,3.68
66,11,2787,42,464,6.44
94,15,574,6,95,4.52
97,16,2980,30,496,7.93
72,12,686,9,114,3.86
4,0,1479,369,246,2.3
31,5,2565,82,427,4.72
19,3,1186,62,197,2.38
10,1,2657,265,442,4.04
80,13,1196,14,199,4.83
75,12,2576,34,429,6.46
48,8,1975,41,329,4.62
2,0,591,295,98,1.02
33,5,2398,72,399,4.53
52,8,1550,29,258,4.12
58,9,2771,47,461,6.01
26,4,1606,61,267,3.2
12,2,1172,97,195,2.12
22,3,448,20,74,1.42
79,13,192,2,32,3.46
17,2,1810,106,301,3.07
67,11,1594,23,265,4.85
47,7,2149,45,358,4.71
65,10,1417,21,236,4.45
88,14,229,2,38,3.82
92,15,2386,25,397,6.91
12,2,127,10,21,0.67
70,11,2184,31,364,5.71
12,2,2371,197,395,3.78
84,14,1533,18,255,5.48
95,15,2571,27,428,7.22
14,2,422,30,70,1.11
69,11,2180,31,363,5.68
63,10,1365,21,227,4.34
56,9,853,15,142,3.39
29,4,2159,74,359,4.01
10,1,1843,184,307,2.91
99,16,1476,14,246,5.96
38,6,944,24,157,2.78
56,9,1121,20,186,3.75
31,5,1638,52,273,3.46
41,6,125,3,20,1.74
4,0,2922,730,487,4.47
93,15,547,5,91,4.47
78,13,487,6,81,3.84
7,1,1880,268,313,2.95
7,1,1512,216,252,2.43
25,4,2054,82,342,3.79
8,1,756,94,126,1.36
99,16,1441,14,240,5.91
14,2,1107,79,184,2.06
9,1,1435,159,239,2.32
12,2,2708,225,451,4.25
6,1,2589,431,431,3.99
69,11,2969,43,494,6.74
71,11,600,8,100,3.6
98,16,263,2,43,4.31
90,15,1628,18,271,5.86
33,5,278,8,46,1.66
85,14,2338,27,389,6.58
46,7,1197,26,199,3.41
80,13,2705,33,450,6.85
4,0,2472,618,412,3.79
90,15,2737,30,456,7.34
57,9,1051,18,175,3.68
60,10,1514,25,252,4.48
41,6,1979,48,329,4.24
19,3,363,19,60,1.25
61,10,2285,37,380,5.54
21,3,1430,68,238,2.75
72,12,1774,24,295,5.32
35,5,1760,50,293,3.7
7,1,2924,417,487,4.44
16,2,130,8,21,0.75
84,14,1684,20,280,5.69
64,10,878,13,146,3.71
11,1,431,39,71,0.94
7,1,2681,383,446,4.09
71,11,1564,22,260,4.89
27,4,2622,97,437,4.6
3,0,807,269,134,1.32
63,10,171,2,28,2.74
64,10,1946,30,324,5.14
6,1,1359,226,226,2.21
91,15,316,3,52,4.12
41,6,240,5,40,1.89
80,13,1687,21,281,5.49
40,6,1609,40,268,3.72
12,2,1429,119,238,2.47
93,15,2261,24,376,6.76
89,14,1486,16,247,5.52
96,16,2775,28,462,7.64
19,3,2487,130,414,4.16
80,13,1556,19,259,5.31
10,1,2209,220,368,3.42
97,16,2808,28,468,7.7
69,11,1636,23,272,4.95
76,12,1453,19,242,4.97
67,11,2849,42,474,6.54
65,10,1539,23,256,4.62
28,4,1855,66,309,3.58
41,6,1169,28,194,3.14
2,0,701,350,116,1.21
18,3,2596,144,432,4.29
47,7,781,16,130,2.87
92,15,2148,23,358,6.59
83,13,831,10,138,4.4
91,15,1789,19,298,6.09
35,5,585,16,97,2.11
16,2,124,7,20,0.74
2,0,592,296,98,1.03
55,9,1338,24,223,4.03
66,11,1981,30,330,5.36
43,7,1302,30,217,3.49
23,3,1385,60,230,2.72
80,13,1137,14,189,4.75
13,2,1025,78,170,1.93
32,5,1782,55,297,3.68
97,16,2574,26,429,7.39
57,9,1235,21,205,3.92
52,8,1218,23,203,3.68
7,1,729,104,121,1.31
81,13,1756,21,292,5.6
90,15,282,3,47,4.05
59,9,2612,44,435,5.82
40,6,1737,43,289,3.89
14,2,971,69,161,1.87
27,4,603,22,100,1.86
17,2,507,29,84,1.28
86,14,1936,22,322,6.06
21,3,872,41,145,1.98
58,9,2216,38,369,5.26
14,2,2161,154,360,3.51
42,7,2440,58,406,5.0
23,3,946,41,157,2.12
49,8,2433,49,405,5.25
12,2,204,17,34,0.77
50,8,582,11,97,2.78
31,5,2560,82,426,4.71
40,6,2598,64,433,5.06
56,9,1910,34,318,4.81
25,4,603,24,100,1.82
14,2,1834,131,305,3.06
74,12,2308,31,384,6.08
48,8,435,9,72,2.54
91,15,2941,32,490,7.64
7,1,2380,340,396,3.66
31,5,2582,83,430,4.74
67,11,104,1,17,2.85
60,10,1509,25,251,4.48
77,12,1906,24,317,5.59
92,15,206,2,34,3.99
28,4,2292,81,382,4.17
96,16,1904,19,317,6.47
4,0,1417,354,236,2.21
95,15,2073,21,345,6.55
40,6,2443,61,407,4.85
46,7,981,21,163,3.12
71,11,1495,21,249,4.8
7,1,2458,351,409,3.78
54,9,688,12,114,3.13
36,6,1153,32,192,3.03
77,12,2273,29,378,6.09
86,14,842,9,140,4.6
33,5,1369,41,228,3.14
36,6,945,26,157,2.75
69,11,2829,41,471,6.55
46,7,1243,27,207,3.47
47,7,1157,24,192,3.37
59,9,2771,46,461,6.03
97,16,1198,12,199,5.54
3,0,515,171,85,0.86
36,6,2454,68,409,4.79
15,2,604,40,100,1.38
24,4,1171,48,195,2.57
90,15,2971,33,495,7.66
40,6,2738,68,456,5.25
55,9,1802,32,300,4.65
39,6,641,16,106,2.39
97,16,606,6,101,4.75
38,6,2424,63,404,4.78
32,5,372,11,62,1.77
43,7,823,19,137,2.84
21,3,2505,119,417,4.21
11,1,1465,133,244,2.39
65,10,1049,16,174,3.96
95,15,989,10,164,5.1
64,10,986,15,164,3.85
65,10,1226,18,204,4.2
8,1,2730,341,455,4.15
62,10,1859,29,309,4.98
35,5,1932,55,322,3.94
14,2,1104,78,184,2.05
25,4,160,6,26,1.21
99,16,937,9,156,5.23
55,9,2701,49,450,5.86
95,15,2688,28,448,7.38
84,14,2472,29,412,6.75
96,16,447,4,74,4.52
94,15,2034,21,339,6.48
24,4,1725,71,287,3.33
80,13,390,4,65,3.75
23,3,2550,110,425,4.31
66,11,1560,23,260,4.79
50,8,847,16,141,3.14
30,5,2427,80,404,4.51
59,9,2290,38,381,5.38
14,2,643,45,107,1.42
36,6,219,6,36,1.76
4,0,2956,739,492,4.52
57,9,2902,50,483,6.17
18,3,1127,62,187,2.28
97,16,2889,29,481,7.81
83,13,2542,30,423,6.69
94,15,2357,25,392,6.91
98,16,2229,22,371,6.94
71,11,1818,25,303,5.24
72,12,1331,18,221,4.72
90,15,1986,22,331,6.34
82,13,423,5,70,3.83
61,10,673,11,112,3.37
54,9,1817,33,302,4.65
68,11,1580,23,263,4.86
73,12,1454,19,242,4.91
5,0,2896,579,482,4.35
83,13,2776,33,462,7.01
25,4,2077,83,346,3.82
82,13,222,2,37,3.56
30,5,1564,52,260,3.34
47,7,2878,61,479,5.69
51,8,2954,57,492,6.0
11,1,322,29,53,0.79
78,13,1904,24,317,5.74
3,0,2155,718,359,3.42
24,4,1172,48,195,2.57
13,2,298,22,49,0.92
10,1,843,84,140,1.5
66,11,2173,32,362,5.61
58,9,1429,24,238,4.21
77,12,2153,27,358,5.93
14,2,1872,133,312,3.12
18,3,2313,128,385,3.9
61,10,2904,47,484,6.37
28,4,2538,90,423,4.5
94,15,2433,25,405,7.01
76,12,313,4,52,3.44
57,9,2700,47,450,5.9
1,0,1472,1472,245,2.97
61,10,2043,33,340,5.21
44,7,1681,38,280,4.02
24,4,2453,102,408,4.32
90,15,2424,26,404,6.92
29,4,1583,54,263,3.22
75,12,424,5,70,3.57
96,16,898,9,149,5.12
53,8,1904,35,317,4.62
21,3,1773,84,295,3.21
17,2,448,26,74,1.2
96,16,2202,22,367,6.87
58,9,782,13,130,3.34
8,1,2874,359,479,4.36
70,11,1972,28,328,5.42
75,12,1406,18,234,4.89
45,7,1143,25,190,3.31
25,4,2700,108,450,4.67
86,14,2920,33,486,7.38
42,7,476,11,79,2.36
85,14,1045,12,174,4.85
33,5,1076,32,179,2.74
2,0,1451,725,241,2.46
5,0,2108,421,351,3.19
58,9,1311,22,218,4.05
9,1,119,13,19,0.47
8,1,1397,174,232,2.26
23,3,1985,86,330,3.54
96,16,2352,24,392,7.07
29,4,2891,99,481,5.0
71,11,2877,40,479,6.66
5,0,2023,404,337,3.07
80,13,2746,34,457,6.91
60,10,2963,49,493,6.43
6,1,2873,478,478,4.39
64,10,177,2,29,2.77
98,16,480,4,80,4.6
55,9,2980,54,496,6.23
89,14,178,2,29,3.77
100,16,1656,16,276,6.22
67,11,2320,34,386,5.83
81,13,2707,33,451,6.88
85,14,351,4,58,3.92
72,12,988,13,164,4.26
66,11,1913,28,318,5.26
17,2,1444,84,240,2.57
46,7,2502,54,417,5.17
5,0,1916,383,319,2.91
7,1,1706,243,284,2.7
66,11,2491,37,415,6.04
47,7,2326,49,387,4.95
12,2,1641,136,273,2.77
98,16,2793,28,465,7.7
59,9,1370,23,228,4.15
82,13,2514,30,419,6.64
39,6,1248,32,208,3.22
30,5,1695,56,282,3.52
59,9,1741,29,290,4.65
43,7,244,5,40,2.06
92,15,2040,22,340,6.45
11,1,2563,233,427,3.92
73,12,2218,30,369,5.93
30,5,2180,72,363,4.18
80,13,2559,31,426,6.66
32,5,1668,52,278,3.52
17,2,480,28,80,1.25
87,14,723,8,120,4.46
84,14,888,10,148,4.62
76,12,2675,35,445,6.61
61,10,2305,37,384,5.57
95,15,2513,26,418,7.14
12,2,1553,129,258,2.64
42,7,796,18,132,2.79
78,13,1576,20,262,5.3
45,7,1731,38,288,4.11
76,12,925,12,154,4.26
21,3,149,7,24,1.0
10,1,1652,165,275,2.64
72,12,1193,16,198,4.54
39,6,2875,73,479,5.41
29,4,2514,86,419,4.49
3,0,1794,598,299,2.85
57,9,2042,35,340,5.01
13,2,2741,210,456,4.3
100,16,1985,19,330,6.66
79,13,1442,18,240,5.14
66,11,917,13,152,3.92
58,9,2778,47,463,6.02
84,14,1293,15,215,5.16
35,5,1011,28,168,2.69
92,15,2591,28,431,7.19
40,6,1447,36,241,3.5
73,12,2413,33,402,6.2
1,0,936,936,156,1.9
2,0,978,489,163,1.67
85,14,311,3,51,3.86
47,7,891,18,148,3.01
66,11,1017,15,169,4.06
82,13,1492,18,248,5.26
100,16,2946,29,491,7.95
4,0,2918,729,486,4.46
31,5,495,15,82,1.91
17,2,2432,143,405,3.93
84,14,165,1,27,3.65
63,10,1933,30,322,5.11
76,12,2162,28,360,5.92
32,5,562,17,93,2.02
56,9,2600,46,433,5.74
38,6,2962,77,493,5.51
90,15,1253,13,208,5.35
61,10,1012,16,168,3.83
86,14,2144,24,357,6.34
38,6,711,18,118,2.47
51,8,2122,41,353,4.87
58,9,1687,29,281,4.55
42,7,820,19,136,2.82
66,11,1274,19,212,4.41
26,4,268,10,44,1.38
65,10,504,7,84,3.23
29,4,1511,52,251,3.13
91,15,668,7,111,4.59
32,5,685,21,114,2.19
44,7,1751,39,291,4.11
80,13,2618,32,436,6.74
32,5,2559,79,426,4.73
82,13,658,8,109,4.15
47,7,1311,27,218,3.58
47,7,1998,42,333,4.51
29,4,692,23,115,2.02
99,16,356,3,59,4.46
52,8,1213,23,202,3.67
72,12,1892,26,315,5.48
36,6,1708,47,284,3.78
22,3,1036,47,172,2.23
92,15,2043,22,340,6.45
41,6,2588,63,431,5.06
5,0,2551,510,425,3.84
50,8,2301,46,383,5.1
57,9,1346,23,224,4.07
53,8,1633,30,272,4.26
69,11,1281,18,213,4.47
99,16,363,3,60,4.46
74,12,1410,19,235,4.87
4,0,966,241,161,1.53
52,8,1332,25,222,3.83
53,8,1713,32,285,4.36
65,10,348,5,58,3.02
98,16,1426,14,237,5.87
12,2,2419,201,403,3.85
80,13,2437,30,406,6.49
1,0,2114,2114,352,4.26
79,13,2350,29,391,6.36
37,6,307,8,51,1.9
25,4,786,31,131,2.07
32,5,2110,65,351,4.12
92,15,2236,24,372,6.71
30,5,2372,79,395,4.44
22,3,119,5,19,0.97
70,11,2709,38,451,6.41
91,15,979,10,163,5.01
94,15,1106,11,184,5.24
97,16,2984,30,497,7.94
32,5,1169,36,194,2.84
85,14,2335,27,389,6.58
79,13,2591,32,431,6.68
1,0,1188,1188,198,2.4
42,7,654,15,109,2.6
53,8,2652,50,442,5.63
29,4,1582,54,263,3.22
96,16,1748,18,291,6.26
65,10,111,1,18,2.7
65,10,250,3,41,2.88
62,10,1259,20,209,4.18
32,5,576,18,96,2.05
2,0,2604,1302,434,4.39
24,4,2984,124,497,5.04
23,3,2533,110,422,4.29
86,14,2167,25,361,6.38
37,6,622,16,103,2.33
45,7,496,11,82,2.44
50,8,1421,28,236,3.91
95,15,2905,30,484,7.67
31,5,558,18,93,2.0
46,7,2972,64,495,5.8
64,10,499,7,83,3.2
70,11,2856,40,476,6.61
44,7,636,14,106,2.61
80,13,1797,22,299,5.63
66,11,199,3,33,2.96
94,15,2847,30,474,7.57
65,10,612,9,102,3.37
71,11,1218,17,203,4.43
100,16,2362,23,393,7.16
89,14,1013,11,168,4.88
14,2,905,64,150,1.78
88,14,1600,18,266,5.65
2,0,731,365,121,1.26
38,6,154,4,25,1.72
58,9,1404,24,234,4.17
64,10,2486,38,414,5.87
78,13,2791,35,465,6.93
14,2,1349,96,224,2.39
16,2,2782,173,463,4.39
68,11,2796,41,466,6.49
36,6,210,5,35,1.75
75,12,2445,32,407,6.28
85,14,954,11,159,4.73
10,1,841,84,140,1.5
76,12,2169,28,361,5.93
52,8,1172,22,195,3.62
44,7,2486,56,414,5.11
74,12,2015,27,335,5.68
39,6,663,17,110,2.42
57,9,367,6,61,2.76
49,8,1806,36,301,4.41
8,1,2298,287,383,3.54
27,4,1134,42,189,2.58
56,9,2650,47,441,5.81
30,5,2929,97,488,5.19
42,7,2696,64,449,5.35
24,4,1675,69,279,3.26
98,16,516,5,86,4.65
19,3,2749,144,458,4.52
97,16,498,5,83,4.61
81,13,299,3,49,3.64
61,10,1748,28,291,4.82
53,8,1292,24,215,3.8
38,6,2449,64,408,4.82
8,1,1682,210,280,2.67
10,1,510,51,85,1.04
95,15,602,6,100,4.58
54,9,771,14,128,3.24
41,6,730,17,121,2.55
51,8,2374,46,395,5.21
22,3,1487,67,247,2.84
44,7,2303,52,383,4.86
71,11,1420,20,236,4.7
6,1,519,86,86,0.99
41,6,1704,41,284,3.87
93,15,2629,28,438,7.26
78,13,621,7,103,4.02
38,6,2920,76,486,5.45
63,10,2350,37,391,5.67
39,6,510,13,85,2.22
82,13,2442,29,407,6.54
19,3,2483,130,413,4.15
84,14,562,6,93,4.18
80,13,1214,15,202,4.85
78,13,1653,21,275,5.4
74,12,104,1,17,3.12
2,0,897,448,149,1.54
29,4,2590,89,431,4.59
81,13,182,2,30,3.49
8,1,2069,258,344,3.21
69,11,1218,17,203,4.39
